"player_name","nation","sport","sport_sub","age","birthdate","start_date","retirement_date","best_rank","date_rank","age_success","start_age","retire_age","sex","career_length"
"Arn Greta","HUN","Tennis","Tennis-Women",43,1979,"1997",2021,"64",2011,32,18,42,"female",24
"Arvidsson Sofia","SWE","Tennis","Tennis-Women",38,1984,"1999",2016,"41",2012,28,15,32,"female",17
"Atawo Raquel","USA","Tennis","Tennis-Women",NA,NA,NA,2021,"176",2007,NA,NA,NA,"female",NA
"Bammer Sybille","AUT","Tennis","Tennis-Women",42,1980,NA,2011,"21",2007,27,NA,31,"female",NA
"Barrois Kristina","GER","Tennis","Tennis-Women",40,1981,"2005",2014,"80",2010,29,24,33,"female",9
"Bartoli Marion","FRA","Tennis","Tennis-Women",37,1984,"2000",2013,"9",2011,27,16,29,"female",13
"Bartoli Marion","FRA","Tennis","Tennis-Women",37,1984,"2000",2018,"9",2011,27,16,34,"female",18
"Beck Annika","GER","Tennis","Tennis-Women",28,1994,NA,2018,"52",2016,22,NA,24,"female",NA
"Beltrame Severine","FRA","Tennis","Tennis-Women",42,1979,"2002",NA,"39",2006,27,23,NA,"female",NA
"Bertens Kiki","NED","Tennis","Tennis-Women",30,1991,"2009",2021,"9",2020,29,18,30,"female",12
"Birnerova Eva","CZE","Tennis","Tennis-Women",37,1984,"2002",2018,"80",2006,22,18,34,"female",16
"Borwell Sarah","GBR","Tennis","Tennis-Women",42,1979,NA,2013,"218",2006,27,NA,34,"female",NA
"Boserup Julia","USA","Tennis","Tennis-Women",30,1991,"2010",2019,"122",2016,25,19,28,"female",9
"Buis Marjolein","NED","Tennis","Tennis-Women",NA,NA,NA,2020,"3",2016,NA,NA,NA,"female",NA
"Castano Catalina","COL","Tennis","Tennis-Women",42,1979,"1998",NA,"55",2006,27,19,NA,"female",NA
"Chakvetadze Anna","RUS","Tennis","Tennis-Women",35,1987,"2003",2013,"6",2007,20,16,26,"female",10
"ChinenyeNdidi Izuogu","NGR","Tennis","Tennis-Women",NA,NA,NA,2015,NA,NA,NA,NA,NA,"female",NA
"Chuang Chia-Jung","TPE","Tennis","Tennis-Women",NA,NA,NA,2018,"177",2006,NA,NA,NA,"female",NA
"Cibulkova Dominika","SVK","Tennis","Tennis-Women",33,1989,"2004",2019,"5",2016,27,15,30,"female",15
"Clijsters Kim","BEL","Tennis","Tennis-Women",38,1983,"1997",2012,"2",2005,22,14,29,"female",15
"CohenAloro Stephanie","FRA","Tennis","Tennis-Women",NA,NA,NA,2011,NA,NA,NA,NA,NA,"female",NA
"Coppola Claudia","ITA","Tennis","Tennis-Women",27,1994,NA,2020,"830",2018,24,NA,26,"female",NA
"Costantini Eve","CAN","Tennis","Tennis-Women",NA,NA,NA,2020,"2234",2020,NA,NA,NA,"female",NA
"Craybas Jill","USA","Tennis","Tennis-Women",47,1974,"1996",2013,"47",2005,31,22,39,"female",17
"Date Kimiko","JPN","Tennis","Tennis-Women",NA,NA,"1989",2017,"46",2010,NA,NA,NA,"female",28
"Dechy Nathalie","FRA","Tennis","Tennis-Women",NA,NA,"1994",2009,NA,NA,NA,NA,NA,"female",15
"Dellacqua Casey","AUS","Tennis","Tennis-Women",37,1985,"2002",2018,"30",2014,29,17,33,"female",16
"Dementieva Elena","RUS","Tennis","Tennis-Women",40,1981,NA,2010,"4",2008,27,NA,29,"female",NA
"Domachowska Marta","POL","Tennis","Tennis-Women",36,1986,"2001",2015,"56",2008,22,15,29,"female",14
"DominguezLino Lourdes","ESP","Tennis","Tennis-Women",NA,NA,NA,2019,NA,NA,NA,NA,NA,"female",NA
"Dubois Stephanie","CAN","Tennis","Tennis-Women",35,1986,"2004",2014,"98",2011,25,18,28,"female",10
"Dulko Gisela","ARG","Tennis","Tennis-Women",37,1985,"2001",2012,"27",2005,20,16,27,"female",11
"Duque-Mariño Mariana","COL","Tennis","Tennis-Women",NA,NA,"2005",2019,NA,NA,NA,NA,NA,"female",14
"Erakovic Marina","NZL","Tennis","Tennis-Women",34,1988,"2006",2018,"48",2013,25,18,30,"female",12
"Ferguson Sophie","AUS","Tennis","Tennis-Women",36,1986,NA,2013,"120",2010,24,NA,27,"female",NA
"Garbin Tatiana","ITA","Tennis","Tennis-Women",NA,NA,NA,NA,NA,NA,NA,NA,NA,"female",NA
"Gibbs Nicole","USA","Tennis","Tennis-Women",29,1993,"2013",2021,"76",2016,23,20,28,"female",8
"Glazkova Ekaterina","RUS","Tennis","Tennis-Women",NA,NA,NA,2021,NA,NA,NA,NA,NA,"female",NA
"Goerges Julia","GER","Tennis","Tennis-Women",33,1988,"2005",2020,"14",2018,30,17,32,"female",15
